2025-10-08 14:31:01,911 INFO    MainThread:44585 [wandb_setup.py:_flush():81] Current SDK version is 0.22.1
2025-10-08 14:31:01,912 INFO    MainThread:44585 [wandb_setup.py:_flush():81] Configure stats pid to 44585
2025-10-08 14:31:01,912 INFO    MainThread:44585 [wandb_setup.py:_flush():81] Loading settings from /home/ka/ka_anthropomatik/ka_et4232/.config/wandb/settings
2025-10-08 14:31:01,912 INFO    MainThread:44585 [wandb_setup.py:_flush():81] Loading settings from /pfs/data6/home/ka/ka_anthropomatik/ka_et4232/workspace/BRC_tcx/wandb/settings
2025-10-08 14:31:01,912 INFO    MainThread:44585 [wandb_setup.py:_flush():81] Loading settings from environment variables
2025-10-08 14:31:01,912 INFO    MainThread:44585 [wandb_init.py:setup_run_log_directory():705] Logging user logs to /pfs/data6/home/ka/ka_anthropomatik/ka_et4232/workspace/BRC_tcx/wandb/run-20251008_143101-7yk4cr94/logs/debug.log
2025-10-08 14:31:01,913 INFO    MainThread:44585 [wandb_init.py:setup_run_log_directory():706] Logging internal logs to /pfs/data6/home/ka/ka_anthropomatik/ka_et4232/workspace/BRC_tcx/wandb/run-20251008_143101-7yk4cr94/logs/debug-internal.log
2025-10-08 14:31:01,913 INFO    MainThread:44585 [wandb_init.py:init():832] calling init triggers
2025-10-08 14:31:01,913 INFO    MainThread:44585 [wandb_init.py:init():837] wandb.init called with sweep_config: {}
config: {'?': False, 'alsologtostderr': False, 'batch_size': 100, 'chex_assert_multiple_cpu_devices': False, 'chex_n_cpu_devices': 1, 'chex_skip_pmap_variant_if_single_device': True, 'env_names': 'HB_NOHANDS', 'eval_episodes': 10, 'eval_interval': 600, 'help': False, 'helpfull': False, 'helpshort': False, 'helpxml': False, 'log_dir': '', 'log_to_wandb': True, 'logger_levels': {}, 'logtostderr': False, 'max_steps': 1000, 'offline_evaluation': True, 'only_check_args': False, 'pdb': False, 'pdb_post_mortem': False, 'profile_file': None, 'pymjcf_debug': False, 'pymjcf_debug_full_dump_dir': '', 'pymjcf_log_xml': False, 'render': False, 'replay_buffer_size': 1000, 'run_with_pdb': False, 'run_with_profiling': False, 'seed': 0, 'showprefixforinfo': True, 'start_training': 500, 'stderrthreshold': 'fatal', 'test_random_seed': 301, 'test_randomize_ordering_seed': '', 'test_srcdir': '', 'test_tmpdir': '/scratch/slurm_tmpdir/job_1722324/absl_testing', 'timeout': True, 'updates_per_step': 2, 'use_cprofile_for_profiling': True, 'v': 0, 'verbosity': 0, 'width_critic': 8, 'xml_output_file': '', '_wandb': {}}
2025-10-08 14:31:01,913 INFO    MainThread:44585 [wandb_init.py:init():880] starting backend
2025-10-08 14:31:03,358 INFO    MainThread:44585 [wandb_init.py:init():883] sending inform_init request
2025-10-08 14:31:03,375 INFO    MainThread:44585 [wandb_init.py:init():891] backend started and connected
2025-10-08 14:31:03,378 INFO    MainThread:44585 [wandb_init.py:init():961] updated telemetry
2025-10-08 14:31:03,426 INFO    MainThread:44585 [wandb_init.py:init():985] communicating run to backend with 90.0 second timeout
2025-10-08 14:31:04,548 INFO    MainThread:44585 [wandb_init.py:init():1036] starting run threads in backend
2025-10-08 14:31:05,228 INFO    MainThread:44585 [wandb_run.py:_console_start():2506] atexit reg
2025-10-08 14:31:05,228 INFO    MainThread:44585 [wandb_run.py:_redirect():2354] redirect: wrap_raw
2025-10-08 14:31:05,228 INFO    MainThread:44585 [wandb_run.py:_redirect():2423] Wrapping output streams.
2025-10-08 14:31:05,228 INFO    MainThread:44585 [wandb_run.py:_redirect():2446] Redirects installed.
2025-10-08 14:31:05,242 INFO    MainThread:44585 [wandb_init.py:init():1076] run started, returning control to user process
2025-10-08 14:32:24,279 INFO    wandb-AsyncioManager-main:44585 [service_client.py:_forward_responses():80] Reached EOF.
2025-10-08 14:32:24,279 INFO    wandb-AsyncioManager-main:44585 [mailbox.py:close():137] Closing mailbox, abandoning 1 handles.
